Agno;Tipo Institucion;Matricula primer agno hombres;Matricula primer agno mujeres
2023;Univ.;;
2023;Univ.;31;2
2023;Univ.;8;8
2023;Univ.;20;17
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;75;7
2023;Univ.;62;10
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;40;7
2023;Univ.;82;6
2023;Univ.;;
2023;Univ.;;
2023;Univ.;54;2
2023;Univ.;100;11
2023;Univ.;;
2023;Univ.;;
2023;Univ.;24;1
2023;Univ.;66;2
2023;Univ.;;
2023;Univ.;23;3
2023;Univ.;;
2023;Univ.;;
2023;Univ.;59;3
2023;Univ.;94;0
2023;Univ.;;
2023;Univ.;54;13
2023;Univ.;42;4
2023;Univ.;75;4
2023;Univ.;;
2023;Univ.;;
2023;Univ.;29;1
2023;Univ.;61;2
2023;Univ.;;
2023;Univ.;;
2023;Univ.;16;4
2023;Univ.;;
2023;Univ.;4;3
2023;Univ.;;
2023;Univ.;6;11
2023;Univ.;;
2023;Univ.;59;25
2023;Univ.;;
2023;Univ.;;
2023;Univ.;16;6
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;15;
2023;Univ.;37;3
2023;Univ.;59;50
2023;Univ.;0;0
2023;Univ.;14;26
2023;Univ.;118;128
2023;Univ.;17;17
2023;Univ.;10;5
2023;Univ.;203;169
2023;Univ.;0;0
2023;Univ.;25;5
2023;Univ.;0;0
2023;Univ.;20;29
2023;Univ.;0;0
2023;Univ.;10;11
2023;Univ.;2;13
2023;Univ.;17;35
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;19;7
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;25;72
2023;Univ.;11;25
2023;Univ.;14;22
2023;Univ.;3;1
2023;Univ.;0;0
2023;Univ.;65;117
2023;Univ.;16;32
2023;Univ.;23;13
2023;Univ.;35;10
2023;Univ.;16;10
2023;Univ.;10;13
2023;Univ.;10;7
2023;Univ.;1;7
2023;Univ.;11;32
2023;Univ.;0;0
2023;Univ.;37;38
2023;Univ.;0;0
2023;Univ.;3;5
2023;Univ.;39;88
2023;Univ.;39;27
2023;Univ.;80;114
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;37;11
2023;Univ.;6;40
2023;Univ.;0;0
2023;Univ.;5;10
2023;Univ.;0;0
2023;Univ.;16;45
2023;Univ.;20;9
2023;Univ.;32;13
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;13;7
2023;Univ.;20;15
2023;Univ.;22;36
2023;Univ.;13;53
2023;Univ.;14;15
2023;Univ.;11;19
2023;Univ.;0;0
2023;Univ.;19;44
2023;Univ.;16;52
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;15;37
2023;Univ.;29;63
2023;Univ.;2;58
2023;Univ.;0;0
2023;Univ.;34;55
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;12;40
2023;Univ.;25;9
2023;Univ.;18;18
2023;Univ.;2;3
2023;Univ.;0;0
2023;Univ.;21;25
2023;Univ.;0;2
2023;Univ.;36;40
2023;Univ.;0;0
2023;Univ.;113;8
2023;Univ.;0;0
2023;Univ.;19;2
2023;Univ.;36;32
2023;Univ.;0;0
2023;Univ.;92;30
2023;Univ.;7;2
2023;Univ.;0;0
2023;Univ.;39;6
2023;Univ.;0;0
2023;Univ.;3;5
2023;Univ.;15;8
2023;Univ.;0;0
2023;Univ.;57;11
2023;Univ.;0;0
2023;Univ.;58;33
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;11;1
2023;Univ.;0;0
2023;Univ.;66;21
2023;Univ.;0;0
2023;Univ.;8;2
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;18;5
2023;Univ.;84;63
2023;Univ.;63;26
2023;Univ.;0;0
2023;Univ.;92;12
2023;Univ.;11;1
2023;Univ.;0;0
2023;Univ.;39;29
2023;Univ.;73;31
2023;Univ.;22;10
2023;Univ.;20;4
2023;Univ.;53;5
2023;Univ.;46;5
2023;Univ.;0;0
2023;Univ.;5;26
2023;Univ.;10;12
2023;Univ.;40;7
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;11;0
2023;Univ.;61;9
2023;Univ.;20;2
2023;Univ.;34;10
2023;Univ.;28;2
2023;Univ.;0;0
2023;Univ.;5;1
2023;Univ.;0;0
2023;Univ.;5;1
2023;Univ.;32;5
2023;Univ.;24;6
2023;Univ.;39;18
2023;Univ.;62;11
2023;Univ.;25;14
2023;Univ.;34;3
2023;Univ.;11;3
2023;Univ.;59;18
2023;Univ.;7;8
2023;Univ.;0;0
2023;Univ.;6;4
2023;Univ.;0;0
2023;Univ.;8;5
2023;Univ.;10;7
2023;Univ.;11;35
2023;Univ.;0;0
2023;Univ.;19;22
2023;Univ.;32;29
2023;Univ.;22;26
2023;Univ.;34;32
2023;Univ.;58;43
2023;Univ.;3;12
2023;Univ.;22;17
2023;Univ.;7;11
2023;Univ.;0;10
2023;Univ.;20;8
2023;Univ.;57;41
2023;Univ.;23;23
2023;Univ.;1;8
2023;Univ.;29;84
2023;Univ.;12;11
2023;Univ.;13;5
2023;Univ.;32;46
2023;Univ.;9;30
2023;Univ.;27;11
2023;Univ.;6;5
2023;Univ.;22;14
2023;Univ.;13;35
2023;Univ.;23;11
2023;Univ.;5;2
2023;Univ.;6;6
2023;Univ.;23;24
2023;Univ.;31;20
2023;Univ.;30;33
2023;Univ.;17;26
2023;Univ.;14;19
2023;Univ.;17;28
2023;Univ.;25;57
2023;Univ.;20;47
2023;Univ.;9;29
2023;Univ.;26;31
2023;Univ.;48;54
2023;Univ.;5;32
2023;Univ.;1;31
2023;Univ.;0;48
2023;Univ.;7;12
2023;Univ.;9;33
2023;Univ.;16;32
2023;Univ.;32;22
2023;Univ.;4;12
2023;Univ.;27;17
2023;Univ.;7;34
2023;Univ.;10;11
2023;Univ.;5;2
2023;Univ.;18;11
2023;Univ.;16;44
2023;Univ.;15;41
2023;Univ.;7;31
2023;Univ.;33;24
2023;Univ.;31;43
2023;Univ.;0;49
2023;Univ.;21;48
2023;Univ.;21;49
2023;Univ.;26;39
2023;Univ.;29;38
2023;Univ.;9;36
2023;Univ.;8;55
2023;Univ.;5;17
2023;Univ.;31;27
2023;Univ.;13;2
2023;Univ.;33;2
2023;Univ.;68;4
2023;Univ.;56;18
2023;Univ.;48;20
2023;Univ.;51;20
